input_ids	input_mask	input_type_ids	label_ids
[101, 1037, 9210, 1997, 5312, 1997, 11591, 21014, 28850, 1010, 6854, 1010, 2027, 10107, 1037, 2143, 11007, 1997, 2037, 11067, 1012, 2205, 2601, 2000, 2022, 1037, 2601, 4038, 1998, 2000, 2422, 2000, 2022, 1037, 3809, 3689, 1010, 21092, 14380, 2097, 2681, 2116, 5328, 4487, 21748, 25099, 2094, 1998, 4821, 4487, 28745, 15532, 14782, 1012, 2017, 2089, 4756, 1010, 2021, 2122, 5312, 2097, 2022, 2261, 1998, 2521, 2090, 13463, 1037, 2712, 1997, 8871, 2041, 4586, 3561, 12793, 1998, 1037, 9428, 10866, 2186, 1997, 3902, 12271, 1012, 1037, 7015, 3947, 1010, 4821, 2589, 1999, 2011, 3768, 1997, 7984, 2522, 21471, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 1998, 2023, 2003, 2054, 4324, 2115, 3086, 2005, 1996, 1016, 2847, 1998, 2382, 2781, 2770, 2051, 1012, 1996, 2143, 2003, 9969, 13823, 2012, 2335, 1998, 5942, 5377, 3086, 1010, 2021, 3087, 2007, 3037, 1999, 2204, 2143, 1011, 2437, 1998, 2307, 3772, 2097, 2022, 14610, 1012, 2619, 2842, 2056, 2008, 2023, 2003, 1037, 3185, 2005, 2111, 2040, 2293, 5691, 1012, 2035, 2500, 2022, 18921, 9028, 7228, 1012, 6148, 2041, 3098, 2305, 2065, 2017, 1005, 2310, 2196, 2464, 2009, 1012, 3071, 1999, 2009, 2003, 6581, 1010, 1998, 2009, 1005, 1055, 2028, 1997, 16220, 10696, 14581, 1005, 1055, 2190, 3152, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 8257, 1999, 12459, 3185, 1016, 1010, 2023, 2143, 13273, 2017, 2011, 1996, 3759, 1998, 2196, 11082, 2175, 1012, 1996, 2034, 3429, 2781, 2030, 2061, 2024, 4030, 1010, 4975, 1996, 3494, 1998, 4760, 2129, 2037, 7885, 2147, 1012, 1996, 2117, 2431, 2003, 10990, 1998, 16004, 2000, 2087, 2895, 1998, 5469, 4599, 1012, 2228, 1997, 2784, 2630, 2712, 1012, 2059, 2689, 1996, 12004, 2046, 2019, 4689, 8841, 2158, 1012, 1998, 2059, 2689, 1996, 2300, 2046, 2543, 1998, 18217, 1012, 1037, 2128, 14949, 12053, 1997, 1037, 6359, 11420, 3185, 1012, 5875, 1012, 1012, 1012, 8892, 2158, 4152, 1019, 1013, 1019, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 1011, 1011, 1028, 2045, 2003, 2053, 13185, 2000, 17607, 2023, 2006, 1996, 2111, 1010, 2061, 2339, 1996, 3109, 1006, 2053, 26136, 3832, 1007, 2024, 2027, 2725, 2009, 1029, 1011, 15085, 4828, 2000, 2115, 2540, 6414, 2004, 5423, 2326, 1011, 1011, 1028, 2138, 2045, 1005, 1055, 2498, 10334, 1010, 2040, 1999, 2023, 3185, 2003, 2641, 1000, 1037, 2613, 3017, 1000, 1010, 2412, 2515, 1010, 4661, 3038, 2008, 5236, 7083, 1012, 2061, 1012, 1012, 1012, 2074, 2360, 2008, 7083, 2077, 1996, 9680, 11244, 1998, 2017, 1005, 2128, 5552, 1011, 2053, 3043, 2054, 1029, 999, 2947, 1010, 5790, 1015, 1013, 2184, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 2174, 1010, 2057, 2156, 2129, 20578, 2386, 2292, 2032, 21392, 1999, 1996, 2491, 2282, 1012, 2023, 2003, 2025, 2589, 1010, 2412, 1012, 2026, 3611, 12176, 2035, 1996, 6752, 1996, 3899, 2081, 11210, 2002, 2001, 1012, 20578, 2386, 1998, 2899, 2191, 1996, 2093, 3340, 2023, 3185, 2003, 5827, 2005, 1010, 2035, 1996, 2717, 2003, 12065, 1008, 1008, 1056, 1012, 2043, 2057, 2079, 2113, 2008, 2603, 2111, 2020, 2145, 4142, 2006, 1996, 12849, 2545, 2243, 1010, 2023, 2143, 4152, 2019, 4469, 9812, 1012, 2065, 2017, 2215, 2000, 2156, 1037, 2613, 10874, 2055, 1037, 6982, 9278, 1024, 22794, 2015, 4049, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
[101, 2029, 23739, 1005, 1055, 2839, 2001, 3140, 2000, 2079, 2242, 2002, 2641, 3308, 2130, 2295, 2002, 2001, 2725, 2009, 2005, 2035, 1996, 2157, 4436, 1010, 2499, 2005, 2033, 2004, 2092, 1012, 1045, 3530, 2007, 2339, 2002, 2371, 2002, 2018, 2000, 2054, 2002, 2106, 1010, 1998, 1045, 5319, 2339, 2002, 2481, 1005, 1056, 3243, 4863, 2009, 1012, 1996, 4471, 2023, 3185, 3084, 2003, 1037, 2204, 1998, 7015, 2028, 1010, 1996, 17363, 1006, 3574, 1996, 2160, 1007, 2003, 3376, 1010, 1998, 1996, 3772, 2003, 1996, 6581, 1012, 3422, 2023, 3185, 2065, 2017, 2412, 2131, 1037, 3382, 1012, 1023, 1013, 2184, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 2008, 3246, 4482, 1010, 2652, 1996, 2821, 1011, 2061, 1011, 23691, 2564, 1006, 1000, 2064, 1045, 2156, 2115, 3282, 1029, 1000, 1007, 2987, 1005, 1056, 3711, 2062, 2411, 1024, 2016, 2071, 2031, 2042, 1037, 8348, 15534, 17910, 2000, 2122, 2273, 1012, 2023, 3185, 2003, 2066, 1037, 22640, 7983, 1024, 2009, 3248, 2007, 1996, 4378, 1010, 2096, 1000, 2183, 2005, 1037, 3102, 1000, 1012, 1996, 4566, 2003, 12476, 2138, 1037, 9994, 1006, 2007, 1037, 3893, 7191, 999, 1007, 19391, 1024, 2023, 2003, 1037, 10424, 8625, 4588, 1010, 15762, 1998, 4569, 3185, 1010, 2029, 2515, 10107, 1037, 2898, 4378, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 2207, 2077, 7344, 1998, 1037, 20228, 11031, 6525, 1997, 2060, 2686, 1011, 10874, 2015, 1045, 8343, 2008, 2009, 2038, 2049, 7117, 1999, 12459, 5691, 2013, 1996, 2753, 1024, 1055, 1998, 1996, 2576, 4785, 1997, 1996, 3963, 1024, 1055, 1012, 2043, 1045, 2228, 1997, 2009, 1010, 2023, 2001, 1037, 2613, 16596, 1011, 10882, 1010, 1037, 3185, 2667, 2000, 6848, 4045, 1998, 2576, 3980, 2055, 2040, 2057, 2024, 1998, 2054, 2057, 2024, 1012, 1996, 2744, 16596, 1011, 10882, 2038, 2144, 2059, 2468, 21657, 1998, 2272, 2000, 2022, 1996, 2744, 2005, 2151, 3185, 2008, 2038, 2686, 1011, 3719, 1999, 2068, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 2293, 2308, 2066, 11382, 12096, 2098, 24654, 3367, 1010, 2040, 2003, 2061, 3019, 1010, 4086, 1998, 27149, 1012, 1041, 1007, 2017, 2442, 19837, 5541, 1010, 1037, 2210, 11463, 2319, 9905, 10415, 2111, 2007, 2307, 1998, 9487, 12857, 2065, 2017, 3113, 2035, 2122, 5918, 2017, 1005, 2222, 2022, 3497, 2000, 3446, 2023, 3185, 2379, 2184, 2685, 1012, 1045, 2196, 4191, 2431, 1006, 999, 1007, 2004, 2172, 2004, 2013, 3666, 2023, 17743, 1012, 1998, 1045, 2130, 3266, 2000, 5390, 2096, 5870, 1999, 2070, 5312, 1006, 1045, 2467, 2131, 7591, 1010, 7188, 2204, 2477, 4148, 2000, 11382, 19020, 24654, 3367, 1007, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
[101, 3427, 2009, 1999, 2019, 4064, 2160, 2011, 2870, 2044, 7090, 1010, 1998, 1045, 2031, 2042, 4452, 1997, 1996, 2601, 2005, 2004, 2146, 2004, 1045, 2064, 3342, 1010, 1998, 2130, 1045, 2347, 1005, 1056, 6015, 1007, 1010, 1998, 1996, 3494, 2453, 2022, 2825, 2000, 2729, 2055, 2065, 2009, 4694, 1005, 1056, 2061, 5793, 2008, 2027, 2020, 2074, 2183, 2000, 3280, 1012, 1045, 3342, 2108, 7622, 2011, 1996, 8900, 19236, 2015, 1006, 2348, 1996, 2143, 2001, 1999, 1998, 2041, 1997, 1996, 4258, 1005, 1055, 5514, 2084, 11686, 3011, 1007, 1010, 2021, 1996, 2203, 2765, 2003, 1996, 2168, 2214, 2518, 1012, 102]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1
